date,code,name,std_sell,std_sell_wc,std_buy,std_buy_wc,std_ratio,total_sell,total_buy
2026-07-03,285A,キオクシアホールディングス,459300,63400,7948100,-947800,17.3,592300,13041400
2026-07-03,9983,ファーストリテイリング,234800,-3400,49600,5300,0.21,294300,94200
2026-07-03,6146,ディスコ,87800,-36500,365200,47900,4.16,141800,554500
2026-07-03,8035,東京エレクトロン,176900,-39600,798900,47600,4.52,257900,1902000
2026-07-03,6920,レーザーテック,168500,-121400,795800,55600,4.72,242700,1201400
2026-07-03,6857,アドバンテスト,190900,-134400,1671700,342800,8.76,678200,3167700
2026-07-03,6976,太陽誘電,1747700,332800,1289600,-796600,0.74,2073500,1917500
2026-07-03,6981,村田製作所,825100,-147600,3881500,-35600,4.7,972700,5444000
2026-07-03,6525,ＫＯＫＵＳＡＩ ＥＬＥＣＴＲＩＣ,445100,32800,1169400,382900,2.63,487000,1882700
2026-07-03,6367,ダイキン工業,59900,23000,125300,-10000,2.09,81400,250400
2026-07-03,1801,大成建設,26300,600,286100,-9200,10.88,43400,350500
2026-07-03,5108,ブリヂストン,89000,-787900,507500,-75200,5.7,502100,803300
2026-07-03,8802,三菱地所,158400,-16500,356000,-38600,2.25,185700,664000
2026-07-03,2802,味の素,86700,800,676100,-140400,7.8,145000,962500
2026-07-03,5201,ＡＧＣ,18100,-255000,346100,2600,19.12,22600,526700
2026-07-03,8766,東京海上ホールディングス,157000,125800,875400,-725000,5.58,195400,2357600
2026-07-03,8411,みずほフィナンシャルグループ,396100,97400,2705700,-465900,6.83,539400,6531700
2026-07-03,4661,オリエンタルランド,1303900,66900,1670700,-273000,1.28,1991700,4029300
2026-07-03,8750,第一ライフグループ,545800,-24300,7654400,-101300,14.02,606600,9081300
2026-07-03,2914,日本たばこ産業,95800,-2268500,1057300,-226200,11.04,129900,2272000
2026-07-03,7974,任天堂,581100,7100,7447100,-1439300,12.82,713800,13714400
2026-07-03,9107,川崎汽船,272500,9400,1118800,-274000,4.11,593200,1811800
2026-07-03,5016,ＪＸ金属,1439500,-885100,14828400,221300,10.3,1559000,22363000
2026-07-03,9984,ソフトバンクグループ,1930400,-768200,26497600,-33800,13.73,2988100,38694800
2026-07-03,5801,古河電気工業,1228600,1081000,14636900,13204200,11.91,1619500,21473100
2026-07-03,6758,ソニーグループ,187200,70100,6445600,-1279700,34.43,225700,10331100
2026-07-03,8306,三菱ＵＦＪフィナンシャル・グループ,1717300,271700,12376800,-873200,7.21,2168100,25364600
2026-07-03,8316,三井住友フィナンシャルグループ,654700,184800,3611400,-767600,5.52,793000,9387500
2026-07-03,6098,リクルートホールディングス,294700,50600,271000,-60600,0.92,498300,422400
2026-07-03,8795,Ｔ＆Ｄホールディングス,59200,200,72600,-8900,1.23,121100,120100
2026-07-03,6762,ＴＤＫ,266700,-473800,3172800,-12900,11.9,403100,5168900
2026-07-03,5332,ＴＯＴＯ,81000,-7900,379200,-19400,4.68,93800,566000
2026-07-03,9433,ＫＤＤＩ,829500,-8100,406300,-56000,0.49,892100,862600
2026-07-03,7203,トヨタ自動車,2006000,-150200,13888200,-1365500,6.92,2171500,22198100
2026-07-03,7269,スズキ,187700,-161300,1013200,-19500,5.4,637200,2520500
2026-07-03,9697,カプコン,56300,18400,582000,-136000,10.34,120200,1201600
2026-07-03,6954,ファナック,202100,16600,2459000,-93900,12.17,229900,3740800
2026-07-03,6594,ニデック,256800,31800,2745000,-158300,10.69,293400,4037400
2026-07-03,5344,ＭＡＲＵＷＡ,23500,1900,19000,-19700,0.81,28800,24600
2026-07-03,6861,キーエンス,72100,1200,78500,-27400,1.09,86400,114200
2026-07-03,6971,京セラ,84900,-7500,556200,-26900,6.55,149300,813500
2026-07-03,6315,ＴＯＷＡ,153100,-33400,1193500,-60400,7.8,167300,2783800
2026-07-03,7762,シチズン時計,36500,-20100,80000,-800,2.19,86800,169300
2026-07-03,5711,三菱マテリアル,51400,11300,547800,7800,10.66,67900,1579900
2026-07-03,9101,日本郵船,149400,-5700,1379700,74800,9.23,229500,2075400
2026-07-03,5802,住友電気工業,570800,506500,6279800,4814200,11.0,630900,9504800
2026-07-03,4062,イビデン,650200,-800,1465700,122000,2.25,726200,2013000
2026-07-03,5803,フジクラ,677500,-217900,17594100,-39500,25.97,1077700,25226600
2026-07-03,4502,武田薬品工業,548900,17000,486100,-123900,0.89,570200,905800
2026-07-03,4967,小林製薬,56700,-124100,37700,-11600,0.66,85900,92600
2026-07-03,1803,清水建設,35300,4200,1061600,-53500,30.07,70800,1369200
2026-07-03,6702,富士通,92700,4100,4069500,-321300,43.9,143200,6348400
2026-07-03,4307,野村総合研究所,107100,24400,500400,-211800,4.67,129000,984500
2026-07-03,4684,オービック,0,0,357600,-74300,,44000,581000
2026-07-03,3436,ＳＵＭＣＯ,1964100,796100,1433300,-85200,0.73,2132900,2254200
